Step,Action,Reasoning,Observation,Auxiliary_Observation,Reward,Done
0,left,manual,"Task: interactive
Step: 0
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
Welcome, you are now in the interactive phase, where you can interact with the grid using the available actions.
During the interactive phase your goal is to act in the environment to understand the underlying rules of the environment. You can reset the environment to it's initial state at any time.

Here is the initial state of the grid: 
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
1,right,manual,"Task: interactive
Step: 1
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
2,up,manual,"Task: interactive
Step: 2
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
3,down,manual,"Task: interactive
Step: 3
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
4,click 0 0,manual,"Task: interactive
Step: 4
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
5,noop,manual,"Task: interactive
Step: 5
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""silver"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
6,noop,manual,"Task: interactive
Step: 6
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""silver"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
7,noop,manual,"Task: interactive
Step: 7
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""silver"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
8,click 6 0,manual,"Task: interactive
Step: 8
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
9,noop,manual,"Task: interactive
Step: 9
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""silver""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
10,noop,manual,"Task: interactive
Step: 10
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""silver""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""black""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
11,click 1 0,manual,"Task: interactive
Step: 11
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""silver""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
12,click 3 0,manual,"Task: interactive
Step: 12
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""silver""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
13,noop,manual,"Task: interactive
Step: 13
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""brown"", ""black"", ""silver"", ""black"", ""brown"", ""black""], [""black"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""silver""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
14,click 3 0,manual,"Task: interactive
Step: 14
Phase: Interactive
Available actions now:
- left
- right
- up
- down
- click X Y  (X=column, Y=row, both in 0..6; column/x first, then row/y)
- noop
- quit
- reset

========== Start of Direct Observation ==========
[[""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""], [""black"", ""brown"", ""black"", ""silver"", ""black"", ""brown"", ""black""], [""blue"", ""brown"", ""black"", ""black"", ""black"", ""brown"", ""blue""], [""blue"", ""brown"", ""brown"", ""brown"", ""brown"", ""brown"", ""blue""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""silver""], [""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""], [""silver"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue"", ""blue""]]",,0.0,False
